Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    76,       23
         0.1667,     1,    77,       22
         0.2500,     1,    78,       22
         0.3333,     1,    78,       22
         0.4167,     1,    78,       22
         0.5000,     1,    78,       22
         0.5833,     1,    78,       21
         0.6667,     1,    79,       20
         0.7500,     0,    80,       19
         0.8333,     0,    81,       18
         0.9167,     0,    82,       18
         1.0000,     0,    83,       17
         1.0833,     0,    83,       17
         1.1667,     0,    84,       16
         1.2500,     0,    84,       16
         1.3333,     0,    84,       15
         1.4167,     0,    85,       15
         1.5000,     0,    85,       15
         1.5833,     0,    85,       15
         1.6667,     0,    85,       15
         1.7500,     0,    85,       14
         1.8333,     0,    85,       14
         1.9167,     0,    86,       14
         2.0000,     0,    86,       14
         2.0833,     0,    86,       14
         2.1667,     0,    86,       14
         2.2500,     0,    86,       14
         2.3333,     0,    86,       14
         2.4167,     0,    86,       14
         2.5000,     0,    86,       14
         2.5833,     0,    86,       14
         2.6667,     0,    86,       14
         2.7500,     0,    86,       14
         2.8333,     0,    86,       14
         2.9167,     0,    86,       14
         3.0000,     0,    86,       14
